Acid Green,#B0BF1A,65,0.86,0.75,
Aero,#7CB9E8,206,0.47,0.91,
Aero Blue,#C9FFE5,151,0.21,1,
African Violet,#B284BE,288,0.31,0.75,
Air Force Blue (RAF),#5D8AA8,204,0.45,0.66,
Air Force Blue (USAF),#00308F,220,1,0.56,
Air Superiority Blue,#72A0C1,205,0.41,0.76,
Alabama Crimson,#AF002A,346,1,0.69,
Alice Blue,#F0F8FF,208,0.06,1,
Red Crimson,#E32636,355,0.83,0.89,
Alloy Orange,#C46210,27,0.92,0.77,
Almond,#EFDECD,30,0.14,0.94,
Amaranth,#E52B50,348,0.81,0.9,
Amaranth Deep Purple,#AB274F,342,0.77,0.67,
Amaranth Pink,#F19CBB,338,0.35,0.95,
Amaranth Purple,#AB274F,342,0.77,0.67,
Amaranth Red,#D3212D,356,0.84,0.83,
Amazon,#3B7A57,147,0.52,0.48,
Amber,#FFBF00,45,1,1,
Amber (SAE/ECE),#FF7E00,30,1,1,
American Rose,#FF033E,346,0.99,1,
Amethyst,#9966CC,270,0.5,0.8,
Android Green,#A4C639,74,0.71,0.78,
Anti-Flash White,#F2F3F4,210,0.01,0.96,
Antique Brass,#CD9575,22,0.43,0.8,
Antique Bronze,#665D1E,53,0.71,0.4,
Antique Fuchsia,#915C83,316,0.37,0.57,
Antique Ruby,#841B2D,350,0.8,0.52,
Antique White,#FAEBD7,34,0.14,0.98,
Ao (English),#008000,120,1,0.5,
Apple Green,#8DB600,74,1,0.71,
Apricot,#FBCEB1,24,0.29,0.98,
Aqua,#00FFFF,180,1,1,
Aquamarine,#7FFFD4,160,0.5,1,
Arctic Lime,#D0FF14,72,0.92,1,
Army Green,#4B5320,69,0.61,0.33,
Arsenic,#3B444B,206,0.21,0.29,
Artichoke,#8F9779,76,0.2,0.59,
Arylide Yellow,#E9D66B,51,0.54,0.91,
Ash Grey,#B2BEB5,135,0.06,0.75,
Asparagus,#87A96B,93,0.37,0.66,
Atomic Tangerine,#FF9966,20,0.6,1,
Auburn,#A52A2A,0,0.75,0.65,
Aureolin,#FDEE00,56,1,0.99,
AuroMetalSaurus,#6E7F80,183,0.14,0.5,
Avocado,#568203,81,0.98,0.51,
Azure,#007FFF,210,1,1,
Azure (Web Color),#F0FFFF,180,0.06,1,
Azure Mist,#F0FFFF,180,0.06,1,
Azureish White,#DBE9F4,206,0.1,0.96,
Baby Blue,#89CFF0,199,0.43,0.94,
Baby Blue Eyes,#A1CAF1,209,0.33,0.95,
Baby Pink,#F4C2C2,0,0.2,0.96,
Baby Powder,#FEFEFA,60,0.02,1,
Baker-Miller Pink,#FF91AF,344,0.43,1,
Ball Blue,#21ABCD,192,0.84,0.8,
Banana Mania,#FAE7B5,43,0.28,0.98,
Banana Yellow,#FFE135,51,0.79,1,
Bangladesh Green,#006A4E,164,1,0.42,
Barbie Pink,#E0218A,327,0.85,0.88,
Barn Red,#7C0A02,4,0.98,0.49,
Battleship Grey,#848482,60,0.02,0.52,
Bazaar,#98777B,353,0.22,0.6,
Beau Blue,#BCD4E6,206,0.18,0.9,
Beaver,#9F8170,22,0.3,0.62,
Beige,#F5F5DC,60,0.1,0.96,
B'dazzled Blue,#2E5894,215,0.69,0.58,
Big Dip O�ruby,#9C2542,345,0.76,0.61,
Bisque,#FFE4C4,33,0.23,1,
Bistre,#3D2B1F,24,0.49,0.24,
Bistre Brown,#967117,43,0.85,0.59,
Bitter Lemon,#CAE00D,66,0.94,0.88,
Bitter Lime,#BFFF00,75,1,1,
Bittersweet,#FE6F5E,6,0.63,1,
Bittersweet Shimmer,#BF4F51,359,0.59,0.75,
Black,#000000,�,0,0,
Black Bean,#3D0C02,10,0.97,0.24,
Black Leather Jacket,#253529,135,0.3,0.21,
Black Olive,#3B3C36,70,0.1,0.24,
Blanched Almond,#FFEBCD,36,0.2,1,
Blast-Off Bronze,#A57164,12,0.39,0.65,
Bleu De France,#318CE7,210,0.79,0.91,
Blizzard Blue,#ACE5EE,188,0.28,0.93,
Blond,#FAF0BE,50,0.24,0.98,
Blue,#0000FF,240,1,1,
Blue (Crayola),#1F75FE,217,0.88,1,
